model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
ConvE,DBpedia50,1,50,1511.4254262447357,280.4347720146179,0.000929529785202496,0.07925070077180862,0.05608591885441527,0.08782816229116945,0.10143198090692124,0.12028639618138424,2977.588150106598,11945.90625,22.91601211849192,100,30.996773844254935,105.578,15.34684713888889
ConvE,DBpedia50,2,50,1517.9528441429138,265.5417881011963,0.0009015712648939101,0.08178069442510605,0.05847255369928401,0.08902147971360382,0.10334128878281623,0.12673031026252984,2881.685413847542,11846.92578125,21.385712674785747,100,30.314434539918807,107.524,14.934911416666667
ConvE,DBpedia50,4,50,1512.0595507621765,255.38433837890625,0.0008950514081245408,0.08579403162002563,0.06205250596658711,0.09474940334128878,0.10787589498806682,0.1286396181384248,2842.479990107159,11846.92578125,20.760339040901076,100,30.44145673815348,104.871,14.864732444444446
ConvE,DBpedia50,7,50,1507.5422914028168,263.52713561058044,0.0009622401909331451,0.0747341439127922,0.0522673031026253,0.08186157517899761,0.0954653937947494,0.11789976133651552,2887.8606557922417,11848.79296875,19.978481803213537,100,30.33639538976892,106.219,14.842081444444446
ConvE,DBpedia50,11,50,1509.4112265110016,269.17627716064453,0.0008967605250529714,0.08389550447463989,0.06014319809069212,0.09069212410501193,0.10668257756563246,0.13198090692124104,2918.0625201000144,11872.80078125,20.48611817924795,100,30.529307266044672,106.253,14.997522194444446
ComplEx,DBpedia50,1,50,1502.9172730445862,1.494135856628418,0.00040074735082494794,0.00042362758540548384,0.0,0.0,0.0,0.00023866348448687351,1055.4065234401116,10635.10546875,10.359430367052216,100,15.74902079293976,82.598,6.543280666666667
ComplEx,DBpedia50,2,50,1504.4360301494598,1.422302007675171,0.0004263086873495636,0.0009513358818367124,0.00047732696897374703,0.0007159904534606205,0.0007159904534606205,0.0009546539379474941,1056.6172086317872,10647.37890625,11.63313965137247,100,15.277828758431843,69.417,6.354303611111112
ComplEx,DBpedia50,4,50,1500.567654132843,1.400662899017334,0.0004096285441416918,0.000501443981193006,0.0,0.00023866348448687351,0.00047732696897374703,0.00047732696897374703,1067.478807462243,10649.31640625,9.799075748442837,100,15.623335677449601,94.788,6.479778472222222
ComplEx,DBpedia50,7,50,1502.1948854923248,1.4322497844696045,0.00046003384250027255,0.00043635835754685104,0.0,0.0,0.0,0.00023866348448687351,1069.5690698279755,10651.25390625,10.464708637184719,100,15.55741881313976,61.856,6.459353861111111
ComplEx,DBpedia50,11,50,1505.4071097373962,1.4572389125823975,0.00046361751789404947,0.0011531757190823555,0.0007159904534606205,0.0009546539379474941,0.0009546539379474941,0.0009546539379474941,1069.1493376585447,10649.31640625,10.054672897196262,100,14.740966688918558,77.522,6.133880027777778
