model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
ConvE,FB15k-237,2,50,869.9977176189423,11.005461692810059,0.00025731108069535787,0.0034280118998140097,0.0005382131324004305,0.0014433897641647911,0.0019816028965652216,0.0035228495938937274,1146.3165678354533,23505.1875,40.65876016958863,100,117.33610026354991,357.483,28.44422630555556
RotatE,WN18RR,2,50,119.68034720420837,1.249253511428833,0.00012334660090577423,0.4262595474720001,0.4110807113543092,0.43091655266757867,0.4427154582763338,0.45502735978112174,1196.0699034334764,3851.1875,62.36652360515021,100,177.56092875536478,274.835,5.746068944444445
ConvKB,WN18RR,2,50,118.61449885368347,513.2515971660614,0.00017041358147606395,0.05719293653964996,0.03300273597811217,0.06480848153214774,0.08088235294117647,0.10106019151846785,18221.029546362908,22119.1875,89.89208633093526,100,267.0690673061551,291.66,46.403250444444446
TransE,DBpedia50,2,50,33.00655484199524,0.3070261478424072,0.00010205220146580357,0.14235182106494904,0.037231503579952266,0.21575178997613365,0.256563245823389,0.2985680190930788,980.3770424836601,2009.1875,19.035947712418302,100,93.67975816993464,127.639,0.7962779444444446
DistMult,YAGO3-10,2,50,2188.752386569977,5.071254730224609,8.963050252699268e-05,0.08032138645648956,0.044961862705740666,0.07988759534323565,0.10236852669610598,0.14150943396226415,1361.4380399568036,21993.1875,74.45071458113138,100,202.32525311336792,327.687,122.29999536111112
RotatE,YAGO3-10,2,50,3427.9237031936646,7.535597324371338,0.0001231023794266652,0.15485672652721405,0.09293456443195504,0.1653954235246889,0.2095543958249699,0.27739863508631074,1835.4637687004986,22399.1875,84.57081255500147,100,216.6425339395717,323.36,205.14844394444447
TransE,FB15k-237,2,50,236.98197507858276,2.128232002258301,0.00010185007280068151,0.1293647587299347,0.06742342694979939,0.13800273999412857,0.1788090811233976,0.24968196496721792,1026.372305804524,22257.1875,15.144259496372172,100,84.34893683311994,323.974,5.489709972222222
ConvE,DBpedia50,2,50,106.90284204483032,1.76015043258667,0.00025290812550197067,0.1755838394165039,0.11742243436754177,0.2071599045346062,0.24033412887828162,0.27804295942720764,1051.6039332399625,2401.1875,43.78338001867414,100,127.88844537815126,384.194,3.8046812500000002
ConvE,WN18RR,2,50,287.85031819343567,4.050992727279663,0.0002533123400393573,0.10575713962316513,0.060020519835841314,0.12123803009575923,0.1533857729138167,0.198187414500684,1149.88306099266,3871.1875,52.35756728416638,100,145.40052743795874,383.189,11.555303027777779
ConvE,YAGO3-10,2,50,5686.591185569763,23.283241271972656,0.00025157150425486466,0.03335489332675934,0.03311922922521076,0.03311922922521076,0.03311922922521076,0.03311922922521076,1544.9144245026566,22291.1875,73.78597023883074,100,183.00530225415264,369.014,287.9842605
ConvKB,Nations,2,50,7.577831983566284,0.03582572937011719,0.00013835636889608345,0.5964759588241577,0.4154228855721393,0.7213930348258707,0.8582089552238806,0.9825870646766169,1077.8798076923076,1129.1875,12.288461538461538,100,82.6006923076923,93.639,0.11931211111111112
TransE,WN18RR,2,50,78.43517088890076,0.5971736907958984,0.00010124663471992137,0.12779785692691803,0.0010259917920656635,0.2332421340629275,0.28761969904240764,0.33618331053351574,1045.2457010582011,3689.1875,33.16005291005291,100,119.66351058201059,170.159,2.5129337222222223
RotatE,FB15k-237,2,50,260.6674566268921,3.2664637565612793,0.00012304578631735732,0.23937831819057465,0.157745376259908,0.26108229768079066,0.3205059203444564,0.40571484489676096,1160.126354489164,23335.1875,23.186919504643964,100,100.28429566563467,322.941,7.19818388888889
ComplEx,WN18RR,2,50,153.43874096870422,0.9641389846801758,0.0001160199897269503,0.0031666657887399197,0.0,0.0001709986320109439,0.0011969904240766074,0.003419972640218878,1193.9856530343009,4611.1875,52.88060686015831,100,158.02932124010553,196.638,6.654790305555555
ConvKB,YAGO3-10,2,50,2429.358700990677,2654.5150985717773,0.00013842485229690742,0.07801203429698944,0.04064632677639502,0.08119229225210758,0.10487755921316741,0.1509433962264151,10644.86038219558,19015.1875,88.39138016447042,100,251.89692759338155,291.497,353.1105125277778
DistMult,Nations,2,50,6.9583330154418945,0.022776365280151367,8.978001050539871e-05,0.6369099020957947,0.48258706467661694,0.7238805970149254,0.8383084577114428,0.9751243781094527,875.1875,875.1875,6.788461538461538,100,70.9056923076923,79.858,0.10241933333333333
RotatE,Nations,2,50,6.927115201950073,0.022756338119506836,0.00012221016842334424,0.4997142255306244,0.27611940298507465,0.6592039800995025,0.7910447761194029,0.9626865671641791,877.0721153846154,877.1875,2.3076923076923075,3,65.72021153846154,66.044,0.09492919444444445
ConvE,Nations,2,50,10.240082025527954,0.024713516235351562,0.0002475837199249078,0.7931493520736694,0.6716417910447762,0.8930348258706468,0.9626865671641791,0.9950248756218906,955.2986111111111,957.1875,16.185185185185187,19,76.79546296296296,79.918,0.11519319444444445
TransE,Nations,2,50,6.7021965980529785,0.022759437561035156,0.00010183949338559487,0.37334683537483215,0.004975124378109453,0.681592039800995,0.8532338308457711,0.972636815920398,875.1875,875.1875,2.0384615384615383,4,65.54411538461538,75.237,0.09467483333333333
DistMult,WN18RR,2,50,92.93650364875793,0.5891098976135254,9.01884175123578e-05,0.39639031887054443,0.37123803009575923,0.41381668946648426,0.42544459644322846,0.4374145006839945,1043.6688186813187,3689.1875,30.06153846153846,100,112.41727472527472,170.388,2.841658888888889
ComplEx,Nations,2,50,7.278323173522949,0.08223199844360352,0.00011446913101928152,0.3860207796096802,0.17661691542288557,0.4701492537313433,0.6840796019900498,0.9427860696517413,877.1490384615385,877.1875,4.711538461538462,25,73.3306923076923,164.395,0.10592211111111112
ConvKB,DBpedia50,2,50,46.23672890663147,222.90392327308655,0.00013810023131973704,0.0750817283987999,0.05178997613365155,0.0782816229116945,0.09212410501193317,0.11957040572792363,18017.0683095952,21591.1875,89.05284857571215,100,267.3866671664168,293.638,19.816323
DistMult,DBpedia50,2,50,37.869359254837036,0.2876307964324951,9.136151095634429e-05,0.35509228706359863,0.3241050119331742,0.3742243436754177,0.3902147971360382,0.40692124105011934,979.2942415730337,2009.1875,18.44943820224719,100,92.68344101123596,164.882,0.91653625
ComplEx,YAGO3-10,2,50,3837.497188091278,5.707268476486206,0.00011426317686867829,0.10162589699029922,0.0725612203934163,0.10688478522681653,0.12515054195102368,0.15847049377759936,1824.9225635732075,24293.1875,77.75302136584087,100,203.41998468999867,309.805,215.54042544444448
ConvKB,FB15k-237,2,50,341.9422869682312,1282.3985311985016,0.00013924330501745262,0.10433725267648697,0.018861923867305997,0.14044916332322144,0.19069869850278892,0.26108229768079066,15254.68517268665,19019.1875,87.00695090920375,100,256.19368714702415,290.566,114.66802447222223
TransE,YAGO3-10,2,50,2068.130847454071,5.166566371917725,0.00010204066708235317,0.05342921242117882,0.0009032517061421116,0.0718586912886391,0.09725010036130068,0.1371938980329185,1362.6920237863606,21995.1875,77.64018873431267,100,205.23955272886465,322.928,117.20318680555556
ComplEx,FB15k-237,2,50,382.31302881240845,2.181229829788208,0.00011408699274300794,0.036662328988313675,0.017638712202759567,0.03574224483804678,0.04914864468147568,0.07099520501027498,1049.7094910455623,23527.1875,20.963128785883594,100,92.64457071372136,309.383,9.77142875
