model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
RotatE,WN18RR,2,50,112.89194083213806,2.073444128036499,7.086197677464638e-05,0.4262595474720001,0.4110807113543092,0.43091655266757867,0.4427154582763338,0.45502735978112174,1131.460617201426,3785.1875,64.1470588235294,100,175.9236550802139,220.805,5.482953916666666
DistMult,Nations,2,50,5.7208898067474365,0.03278827667236328,0.0001627864728482505,0.6369099020957947,0.48258706467661694,0.7238805970149254,0.8383084577114428,0.9751243781094527,809.1875,809.1875,3.9347826086956523,28,53.85291304347826,98.117,0.06881205555555556
TransE,Nations,2,50,8.627130031585693,0.032645463943481445,0.00018882321481087906,0.37334683537483215,0.004975124378109453,0.681592039800995,0.8532338308457711,0.972636815920398,809.1875,809.1875,1.2115384615384615,2,47.94578846153846,48.529,0.06925502777777778
RotatE,Nations,2,50,7.977364778518677,0.014189481735229492,7.086987167003735e-05,0.4997142255306244,0.27611940298507465,0.6592039800995025,0.7910447761194029,0.9626865671641791,811.2659313725491,829.1875,2.196078431372549,4,47.63313725490196,48.158,0.06748027777777778
ConvKB,Nations,2,50,14.951210021972656,0.026601314544677734,0.0009172135866733629,0.5999141931533813,0.4154228855721393,0.7213930348258707,0.8631840796019901,0.9850746268656716,948.5806034482758,1067.1875,4.531034482758621,14,51.69178620689655,66.235,0.2082030277777778
ComplEx,Nations,2,50,5.675672292709351,0.186722993850708,0.00028894944301811025,0.3860207796096802,0.17661691542288557,0.4701492537313433,0.6840796019900498,0.9427860696517413,897.0089285714286,897.1875,5.517857142857143,16,50.07714285714286,61.511,0.07789777777777779
ConvKB,DBpedia50,2,50,32.1706268787384,222.92728900909424,7.696247599609997e-05,0.06556081771850586,0.03890214797136038,0.06921241050119331,0.08806682577565632,0.11837708830548926,19023.41219233823,21591.1875,93.76379515680826,100,279.1695633187773,298.288,19.534114722222224
ConvKB,WN18RR,2,50,136.30844449996948,511.9627637863159,0.00023931902836468044,0.04148570075631142,0.022742818057455542,0.04411764705882353,0.05813953488372093,0.07575239398084815,17818.905183881063,22107.1875,87.59092331768387,100,264.4803801251956,296.912,46.94526747222223
ComplEx,WN18RR,2,50,165.0982837677002,1.31447172164917,0.00020505248256175488,0.0031666657887399197,0.0,0.0001709986320109439,0.0011969904240766074,0.003419972640218878,1217.4975679431748,4631.1875,48.50895614576899,100,147.36123903644224,181.423,6.627162388888889
ConvKB,WN18RR,2,50,85.72799491882324,511.52026319503784,7.658977814467188e-05,0.05049019679427147,0.03095075239398085,0.05318057455540356,0.06634746922024624,0.08738030095759233,19116.11444449131,22107.1875,94.66374219672684,100,280.8589735110511,297.231,46.240309333333336
DistMult,YAGO3-10,2,50,1914.3395001888275,4.065160751342773,4.9830764021376014e-05,0.08032138645648956,0.044961862705740666,0.07988759534323565,0.10236852669610598,0.14150943396226415,1383.7636217528209,22013.1875,84.66140120703227,100,220.18942067698768,333.463,116.5474836388889
ComplEx,DBpedia50,2,50,32.204888582229614,0.34662461280822754,6.49126897830525e-05,0.0029805852100253105,0.0019093078758949881,0.002863961813842482,0.0031026252983293555,0.003579952267303103,1095.703839869281,2753.1875,47.408496732026144,100,138.80855555555556,164.596,1.1798727222222223
ConvE,DBpedia50,2,50,76.83247303962708,2.0280239582061768,0.0002514330634673911,0.1835349053144455,0.1233890214797136,0.21837708830548927,0.25274463007159903,0.29331742243436754,1048.3351683937824,2401.1875,58.12564766839378,100,139.02687305699482,406.037,2.9813540555555558
ComplEx,FB15k-237,2,50,215.03288531303406,1.9960944652557373,6.371660988108206e-05,0.036662328988313675,0.017638712202759567,0.03574224483804678,0.04914864468147568,0.07099520501027498,1086.0140922826592,23523.1875,35.81729428172943,100,95.3000529986053,311.257,5.694178166666667
TransE,FB15k-237,2,50,114.63603830337524,1.8472139835357666,5.6727143800703964e-05,0.1293647587299347,0.06742342694979939,0.13800273999412857,0.1788090811233976,0.24968196496721792,1114.900011091393,22221.1875,30.547471162377995,100,83.87886690328304,325.557,2.625874527777778
DistMult,FB15k-237,2,50,137.17674827575684,1.8076674938201904,4.9474758289886355e-05,0.19189642369747162,0.12420491241804482,0.20312652901458067,0.2513455328310011,0.3285057246305901,1093.7724744711888,22187.1875,28.14733770970095,100,78.23380525164114,326.899,2.9794040833333333
RotatE,DBpedia50,2,50,23.989696502685547,0.4673926830291748,6.83119905076761e-05,0.26274850964546204,0.2389021479713604,0.2737470167064439,0.28305489260143196,0.3026252983293556,1099.2884174311926,2459.1875,54.08715596330275,100,153.9217752293578,191.53,0.9320818611111111
ComplEx,YAGO3-10,2,50,3396.901038646698,4.3904430866241455,6.299737514871902e-05,0.10162589699029922,0.0725612203934163,0.10688478522681653,0.12515054195102368,0.15847049377759936,1842.8209784024632,24293.1875,87.19951446250407,100,219.00250028125646,315.418,205.47909588888888
ConvKB,Nations,2,50,5.316930770874023,0.025875568389892578,7.591767014184994e-05,0.5924643278121948,0.4054726368159204,0.7139303482587065,0.8706467661691543,0.9825870646766169,1040.8028846153845,1047.1875,20.076923076923077,100,74.61721153846153,86.822,0.10778041666666667
