model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
DistMult,DBpedia50,2,50,38.82404136657715,0.30273962020874023,9.162097475835986e-05,0.35509228706359863,0.3241050119331742,0.3742243436754177,0.3902147971360382,0.40692124105011934,910.6626044568245,1943.1875,16.0974930362117,21,78.6473704735376,102.054,0.7842890555555555
TransE,Nations,2,50,6.90499210357666,0.023733139038085938,0.00010327748787492069,0.37334683537483215,0.004975124378109453,0.681592039800995,0.8532338308457711,0.972636815920398,809.1875,809.1875,2.25,11,58.636596153846156,97.424,0.08469730555555556
RotatE,WN18RR,2,50,121.56020331382751,1.2517130374908447,0.00012540085070477302,0.4262595474720001,0.4110807113543092,0.43091655266757867,0.4427154582763338,0.45502735978112174,1131.3705394626365,3785.1875,60.931150293870694,100,166.09851301427372,272.626,5.495092472222223
RotatE,FB15k-237,2,50,264.69616532325745,3.299468517303467,0.0001213984872534476,0.23937831819057465,0.157745376259908,0.26108229768079066,0.3205059203444564,0.40571484489676096,1083.4328333333333,23269.1875,22.145904761904763,100,90.20435085714286,318.292,6.5774005833333336
ConvKB,FB15k-237,2,50,341.01081800460815,1281.2051208019257,0.00013056485434772275,0.10661878436803818,0.025344945689402095,0.1339906057344163,0.18492513944612976,0.259932478716117,15280.484104899888,19031.1875,87.07337395846288,100,251.07508562367863,285.424,112.16082019444445
ConvE,FB15k-237,2,50,836.9070999622345,10.727222442626953,0.00024070984972195215,0.005333631299436092,0.002397494862511009,0.0028623152950386535,0.003547313827184656,0.006923378021332811,1157.9009000953743,23525.1875,41.79124940391035,100,109.4065789222699,356.248,25.49173288888889
ConvE,Nations,2,50,10.098116397857666,0.025156736373901367,0.00024598672874827886,0.7985981106758118,0.681592039800995,0.9104477611940298,0.9651741293532339,0.9975124378109452,935.6403301886793,937.1875,20.358490566037737,100,71.58067924528302,79.399,0.10538266666666668
ComplEx,DBpedia50,2,50,50.353782415390015,0.4171774387359619,0.00011241476947268324,0.0029805852100253105,0.0019093078758949881,0.002863961813842482,0.0031026252983293555,0.003579952267303103,1075.6690618221257,2733.1875,31.143167028199567,91,101.26952711496746,129.28,1.2968125555555556
ConvE,WN18RR,2,50,284.9417748451233,3.9589338302612305,0.00024332867479193878,0.10788074135780334,0.06070451436388509,0.12277701778385773,0.15287277701778385,0.20194938440492477,1118.6275281392896,3871.1875,52.10974322898347,100,135.0471048188533,403.155,10.664969972222224
ConvE,YAGO3-10,2,50,5625.746788978577,23.067747592926025,0.00024683696686300297,0.03058503568172455,0.027900441589723,0.03291850662384584,0.03291850662384584,0.03291850662384584,1452.9292846241722,22291.1875,74.01151312853649,100,175.05714852828302,372.051,272.42296200000004
DistMult,FB15k-237,2,50,275.50105905532837,2.0879602432250977,8.635801035403762e-05,0.19189642369747162,0.12420491241804482,0.20312652901458067,0.2513455328310011,0.3285057246305901,998.6200309992706,22211.1875,14.099562363238512,100,73.8932060539752,316.632,5.628199194444445
DistMult,DBpedia50,2,50,37.78418803215027,0.28378939628601074,8.796902600151257e-05,0.35509228706359863,0.3241050119331742,0.3742243436754177,0.3902147971360382,0.40692124105011934,959.4627808988764,1989.1875,17.84550561797753,100,81.03273876404494,91.021,0.80132375
ConvKB,YAGO3-10,2,50,2415.2300605773926,2651.9141204357147,0.00013199343769659675,0.07846787571907043,0.03863910076274588,0.08329987956643918,0.10909273384183059,0.15295062224006423,10666.81791749503,19015.1875,88.39357852882704,100,245.75282739562624,287.206,343.37131161111114
ComplEx,WN18RR,2,50,152.10500311851501,0.9092154502868652,0.00011225542335142923,0.0031666657887399197,0.0,0.0001709986320109439,0.0011969904240766074,0.003419972640218878,1195.1235,4611.1875,52.864,100,150.21680533333335,193.1,6.259033555555556
RotatE,FB15k-237,2,50,259.9934844970703,3.2718276977539062,0.00011951675874052863,0.23937831819057465,0.157745376259908,0.26108229768079066,0.3205059203444564,0.40571484489676096,1135.7139376688538,23311.1875,22.283288305673484,100,92.03977576225395,319.64,6.6243071944444445
ComplEx,Nations,2,50,7.603622913360596,0.024630308151245117,0.00011275360240272029,0.3860207796096802,0.17661691542288557,0.4701492537313433,0.6840796019900498,0.9427860696517413,877.1490384615385,877.1875,7.326923076923077,100,60.90246153846154,68.713,0.08797022222222223
DistMult,Nations,2,50,6.867625713348389,0.02275395393371582,8.777806544630088e-05,0.6369099020957947,0.48258706467661694,0.7238805970149254,0.8383084577114428,0.9751243781094527,875.1875,875.1875,2.3076923076923075,3,56.53565384615384,57.397,0.08166261111111112
ConvKB,FB15k-237,2,50,338.97200870513916,1281.2686924934387,0.00013237587607429504,0.11447879672050476,0.039216165965358644,0.13964184362462082,0.1860749584108034,0.2556267736569136,15271.622477299583,19019.1875,87.09944648299023,100,251.6712424902046,286.071,112.40616411111112
TransE,DBpedia50,2,50,32.41899800300598,0.3027677536010742,0.00010073364696738829,0.14235182106494904,0.037231503579952266,0.21575178997613365,0.256563245823389,0.2985680190930788,961.2397875816994,1989.1875,18.947712418300654,100,87.24153267973855,106.855,0.7415530277777779
TransE,WN18RR,2,50,78.24863576889038,0.5877494812011719,0.00010132886311383319,0.12779785692691803,0.0010259917920656635,0.2332421340629275,0.28761969904240764,0.33618331053351574,1045.2164855072465,3689.1875,32.54940711462451,92,113.69897496706191,169.423,2.397153388888889
ComplEx,YAGO3-10,2,50,4022.068462371826,5.562667608261108,0.00011022475244128192,0.10162589699029922,0.0725612203934163,0.10688478522681653,0.12515054195102368,0.15847049377759936,1823.4596997098404,24293.1875,73.56956325979289,100,188.66076729701336,304.498,209.50778208333335
RotatE,YAGO3-10,2,50,3519.6720452308655,7.543469190597534,0.00011946470542115075,0.15485672652721405,0.09293456443195504,0.1653954235246889,0.2095543958249699,0.27739863508631074,1834.9485192247264,22399.1875,82.17410803553575,100,204.60995660867826,319.385,198.96613197222223
ConvKB,Nations,2,50,7.613584041595459,0.035805702209472656,0.00013413632853855541,0.5907121300697327,0.40298507462686567,0.7139303482587065,0.8557213930348259,0.9850746268656716,1075.110576923077,1129.1875,12.0,100,73.87825,81.805,0.10671302777777777
ConvKB,YAGO3-10,2,50,2449.002410888672,2651.804454565048,0.00013294119188963577,0.09339378029108047,0.05459654757125652,0.09634684865515857,0.12444801284624649,0.16710156563629064,10607.299886181832,19015.1875,87.8462343716052,100,244.71985046119812,286.964,344.16448080555557
DistMult,YAGO3-10,2,50,2181.4935829639435,5.077453851699829,8.750108580263156e-05,0.08032138645648956,0.044961862705740666,0.07988759534323565,0.10236852669610598,0.14150943396226415,1361.51748340402,21993.1875,74.51885487737415,100,194.13449976950028,320.991,116.97682136111112
ComplEx,WN18RR,2,50,153.14559721946716,0.912273645401001,0.00011246456610479694,0.0031666657887399197,0.0,0.0001709986320109439,0.0011969904240766074,0.003419972640218878,1195.0157694848085,4611.1875,52.45178335535007,100,148.20303434610304,191.684,6.232760944444444
ConvE,DBpedia50,2,50,105.13338828086853,1.7162137031555176,0.0002457387718707679,0.18469807505607605,0.12458233890214797,0.216945107398568,0.25202863961813843,0.29618138424821,1032.5514921722113,2401.1875,43.448140900195696,100,119.06675636007829,398.936,3.380172916666667
ComplEx,Nations,2,50,7.237731456756592,0.023041486740112305,0.00011350839069826685,0.3860207796096802,0.17661691542288557,0.4701492537313433,0.6840796019900498,0.9427860696517413,877.1490384615385,877.1875,4.115384615384615,15,62.61398076923077,146.0,0.09044241666666668
RotatE,DBpedia50,2,50,36.762208461761475,0.5129384994506836,0.00012065068927542407,0.26274850964546204,0.2389021479713604,0.2737470167064439,0.28305489260143196,0.3026252983293556,1077.5830431754875,2439.1875,35.97214484679666,100,123.12983565459609,185.078,1.2278780833333334
ConvE,Nations,2,50,9.555563926696777,0.023715734481811523,0.0002458830924695404,0.7972005605697632,0.6766169154228856,0.9029850746268657,0.9626865671641791,0.9975124378109452,935.6105769230769,937.1875,16.596153846153847,18,75.20207692307692,156.477,0.10862522222222223
TransE,DBpedia50,2,50,32.085676431655884,0.3049485683441162,0.00010063404746371408,0.14235182106494904,0.037231503579952266,0.21575178997613365,0.256563245823389,0.2985680190930788,961.3182189542483,1989.1875,18.264705882352942,39,83.94808823529412,109.084,0.71355875
ConvE,FB15k-237,2,50,835.3730757236481,10.684473276138306,0.00024303341556345195,0.003046696539968252,0.00029357079949114397,0.0006605342988550739,0.0012232116645464332,0.003327135727566298,1158.2755248091603,23525.1875,41.73735687022901,100,108.98901562500001,350.701,25.38233075
