model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
RotatE,Nations,2,50,7.3509557247161865,0.039029598236083984,0.00012822936182443182,0.4997142255306244,0.27611940298507465,0.6592039800995025,0.7910447761194029,0.9626865671641791,794.9613636363637,811.1875,2.2181818181818183,4,58.4006,64.347,0.08922313888888889
RotatE,YAGO3-10,2,50,3424.326793193817,7.5269646644592285,0.0001196124348288461,0.15485672652721405,0.09293456443195504,0.1653954235246889,0.2095543958249699,0.27739863508631074,1769.0035143289192,22333.1875,84.6189623278621,100,216.70321343629797,322.916,205.00725944444446
ComplEx,FB15k-237,2,50,372.51571393013,2.204538583755493,0.00011453268755519329,0.036662328988313675,0.017638712202759567,0.03574224483804678,0.04914864468147568,0.07099520501027498,1028.712960455038,23519.1875,21.456121343445286,100,93.35718824485375,310.985,9.574298305555557
TransE,Nations,2,50,6.636956214904785,0.023187637329101562,0.00010026228238842381,0.37334683537483215,0.004975124378109453,0.681592039800995,0.8532338308457711,0.972636815920398,847.1875,847.1875,7.865384615384615,99,70.14828846153846,79.393,0.10132530555555555
TransE,FB15k-237,2,50,230.55519342422485,2.106470823287964,9.896263766536939e-05,0.1293647587299347,0.06742342694979939,0.13800273999412857,0.1788090811233976,0.24968196496721792,1012.6807284840542,22229.1875,15.581913499344692,100,84.53657142857143,321.902,5.375117
DistMult,WN18RR,2,50,92.26904821395874,0.5698699951171875,8.852505915009617e-05,0.39639031887054443,0.37123803009575923,0.41381668946648426,0.42544459644322846,0.4374145006839945,1015.608204845815,3661.1875,30.476872246696036,100,112.10565859030837,171.08,2.8275538333333334
TransE,Nations,2,50,6.274435043334961,0.022963523864746094,0.00010106397505423323,0.37334683537483215,0.004975124378109453,0.681592039800995,0.8532338308457711,0.972636815920398,847.1875,847.1875,2.9038461538461537,27,72.20532692307692,164.674,0.10429658333333335
ComplEx,DBpedia50,2,50,48.97600793838501,0.4186880588531494,0.0001141764783702773,0.0029805852100253105,0.0019093078758949881,0.002863961813842482,0.0031026252983293555,0.003579952267303103,1047.6907537960954,2705.1875,31.91540130151844,71,109.66431670281996,139.249,1.4043125
TransE,WN18RR,2,50,75.43260908126831,0.5933868885040283,0.00010038675356875447,0.12779785692691803,0.0010259917920656635,0.2332421340629275,0.28761969904240764,0.33618331053351574,1017.7103215767635,3661.1875,34.58091286307054,100,120.63694744121716,176.639,2.422792027777778
ComplEx,Nations,2,50,7.629071950912476,0.024866580963134766,0.00011452143335372061,0.3860207796096802,0.17661691542288557,0.4701492537313433,0.6840796019900498,0.9427860696517413,849.1490384615385,849.1875,4.5,28,71.84998076923077,159.25,0.10378330555555557
TransE,DBpedia50,2,50,32.56856179237366,0.3058340549468994,0.0001003094857696417,0.14235182106494904,0.037231503579952266,0.21575178997613365,0.256563245823389,0.2985680190930788,953.0371732026143,1981.1875,18.140522875816995,57,91.36716666666666,115.07,0.7766209166666668
