model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
RotatE,WN18RR,2,50,121.25471663475037,1.2663414478302002,0.00012801086406507585,0.4262595474720001,0.4110807113543092,0.43091655266757867,0.4427154582763338,0.45502735978112174,1130.4225993377484,3785.1875,61.14900662251656,100,175.28433526490068,291.71,5.8817632500000006
ConvKB,Nations,2,50,7.3666911125183105,0.03627490997314453,0.00016864574982307444,0.5948244333267212,0.41044776119402987,0.7089552238805971,0.8706467661691543,0.9825870646766169,1036.9233490566037,1067.1875,9.981132075471699,27,81.36281132075472,125.111,0.1197841388888889
ComplEx,Nations,2,50,7.394721746444702,0.025312423706054688,0.00011781275513308558,0.3860207796096802,0.17661691542288557,0.4701492537313433,0.6840796019900498,0.9427860696517413,897.1490384615385,897.1875,4.115384615384615,19,67.5026923076923,77.186,0.09750388888888889
ComplEx,Nations,2,50,7.372418642044067,0.023305654525756836,0.00011984533190134152,0.3860207796096802,0.17661691542288557,0.4701492537313433,0.6840796019900498,0.9427860696517413,897.1490384615385,897.1875,3.5384615384615383,6,66.28621153846153,66.823,0.09574675
ComplEx,YAGO3-10,2,50,3832.0142946243286,5.6616904735565186,0.00011447076515613526,0.10162589699029922,0.0725612203934163,0.10688478522681653,0.12515054195102368,0.15847049377759936,1844.2272983828625,24293.1875,77.71944240260422,100,203.33106707445134,307.646,215.14686130555557
ConvE,DBpedia50,2,50,107.18886184692383,1.7645466327667236,0.00025226179474791363,0.18296799063682556,0.12267303102625299,0.21813842482100237,0.2539379474940334,0.29689737470167066,1051.2790032679738,2401.1875,43.89542483660131,100,128.89839215686277,385.397,3.834727166666667
RotatE,Nations,2,50,6.885047912597656,0.022988557815551758,0.00012168791886437592,0.4997142255306244,0.27611940298507465,0.6592039800995025,0.7910447761194029,0.9626865671641791,897.0721153846154,897.1875,2.8653846153846154,17,71.71646153846153,176.288,0.10359044444444446
TransE,FB15k-237,2,50,224.604722738266,2.15620756149292,0.00010091929695315529,0.1293647587299347,0.06742342694979939,0.13800273999412857,0.1788090811233976,0.24968196496721792,1026.3783806437193,22221.1875,16.054984354045597,100,84.11490970049174,322.481,5.226807027777778
RotatE,Nations,2,50,6.869472980499268,0.023010730743408203,0.0001214391121001386,0.4997142255306244,0.27611940298507465,0.6592039800995025,0.7910447761194029,0.9626865671641791,897.0721153846154,897.1875,8.326923076923077,100,70.2565576923077,79.284,0.10148169444444445
ComplEx,WN18RR,2,50,150.60925889015198,0.9166789054870605,0.00011627251223728529,0.0031666657887399197,0.0,0.0001709986320109439,0.0011969904240766074,0.003419972640218878,1215.2267953929538,4631.1875,53.51829268292683,100,158.66521883468835,198.753,6.505273972222223
