model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
TransE,FB15k-237,2,50,271.12952065467834,2.1403279304504395,0.00010378302610577267,0.1293647587299347,0.06742342694979939,0.13800273999412857,0.1788090811233976,0.24968196496721792,950.3424246651786,22191.1875,12.983258928571429,100,76.20440550595238,326.306,5.6899289444444445
TransE,WN18RR,2,50,80.87804412841797,0.6020472049713135,0.00010348030139224556,0.12779785692691803,0.0010259917920656635,0.2332421340629275,0.28761969904240764,0.33618331053351574,978.83381043257,3623.1875,32.00636132315522,100,112.99402671755725,157.461,2.46703625
TransE,WN18RR,2,50,79.86157298088074,0.5929102897644043,0.00010216367053869403,0.12779785692691803,0.0010259917920656635,0.2332421340629275,0.28761969904240764,0.33618331053351574,979.1113845144357,3623.1875,31.85958005249344,100,110.26172965879265,170.604,2.333873277777778
ComplEx,DBpedia50,2,50,50.92933797836304,0.42397499084472656,0.00011761546588385019,0.0029805852100253105,0.0019093078758949881,0.002863961813842482,0.0031026252983293555,0.003579952267303103,1047.1167730844793,2705.1875,31.341846758349707,69,101.53806679764243,149.761,1.4356354444444446
RotatE,Nations,2,50,6.922211647033691,0.023238182067871094,0.0001239324062691992,0.4997142255306244,0.27611940298507465,0.6592039800995025,0.7910447761194029,0.9626865671641791,848.8208333333333,849.1875,2.7333333333333334,13,61.482083333333335,112.008,0.1024701388888889
ConvE,FB15k-237,2,50,859.146073102951,10.721114158630371,0.00024998036618502606,0.005780520383268595,0.002103924063019865,0.003204814561111655,0.003547313827184656,0.010470691848517467,1153.578021547218,23525.1875,41.036008827970726,100,106.90720466953188,350.63,25.56567013888889
ConvE,YAGO3-10,2,50,5693.185098648071,23.053117990493774,0.00025110821763449094,0.0018910359358415008,0.0002007226013649137,0.0002007226013649137,0.0010036130068245685,0.0012043356081894822,1544.0860246681825,22291.1875,73.17534768124372,100,172.66481885322474,367.749,272.10536577777776
ConvKB,FB15k-237,2,50,340.3857572078705,1281.2325639724731,0.00013529439326891556,0.10394442081451416,0.02028084939817986,0.13558078089832665,0.18526763871220275,0.25951658675017125,15292.523776582515,19805.1875,86.8776271608009,100,250.56474642457405,284.804,111.93284033333335
ConvE,DBpedia50,2,50,107.47044348716736,1.719226598739624,0.0002466911774546548,0.18989083170890808,0.13198090692124104,0.22100238663484487,0.256563245823389,0.29403341288782814,1051.5665849673203,2401.1875,42.945845004668534,100,118.27714752567694,398.043,3.518745138888889
ConvE,YAGO3-10,2,50,5661.179958343506,23.054687023162842,0.00024845743393327326,0.03367948159575462,0.03291850662384584,0.0337213970293055,0.033821758329987954,0.03653151344841429,1544.3441875819774,22291.1875,73.61037257612819,100,173.4010206848878,370.679,271.74829958333333
DistMult,FB15k-237,2,50,272.9755771160126,2.1023151874542236,8.754041139774621e-05,0.19189642369747162,0.12420491241804482,0.20312652901458067,0.2513455328310011,0.3285057246305901,1003.2761917960089,22203.1875,14.140428677014043,100,73.46972320768663,317.54,5.522474194444444
DistMult,Nations,2,50,6.911733388900757,0.022754669189453125,8.95883109587342e-05,0.6369099020957947,0.48258706467661694,0.7238805970149254,0.8383084577114428,0.9751243781094527,855.1875,855.1875,7.615384615384615,100,58.95046153846154,66.088,0.08515066666666668
ConvKB,Nations,2,50,7.660833120346069,0.035951852798461914,0.00013688959144241182,0.6021885871887207,0.42039800995024873,0.7213930348258707,0.8681592039800995,0.9825870646766169,1057.8798076923076,1109.1875,9.384615384615385,15,67.27103846153847,69.978,0.09716927777777778
TransE,YAGO3-10,2,50,2139.350785255432,5.155848026275635,0.00010169301868466095,0.05342921242117882,0.0009032517061421116,0.0718586912886391,0.09725010036130068,0.1371938980329185,1341.9586183189958,21975.1875,75.05086259577868,100,190.75318770272176,316.566,112.71923783333334
RotatE,WN18RR,2,50,120.16917657852173,1.241213321685791,0.000120393933458241,0.4262595474720001,0.4110807113543092,0.43091655266757867,0.4427154582763338,0.45502735978112174,1178.6562232219367,3831.1875,61.98971722365039,100,167.2882296486718,279.18,5.422926777777778
RotatE,DBpedia50,2,50,37.519328117370605,0.5120117664337158,0.0001242230448489542,0.26274850964546204,0.2389021479713604,0.2737470167064439,0.28305489260143196,0.3026252983293556,1057.5830431754875,2419.1875,36.00278551532033,100,122.7822451253482,183.601,1.2244118333333334
ComplEx,FB15k-237,2,50,381.49079155921936,2.1938207149505615,0.00011650986997905526,0.036662328988313675,0.017638712202759567,0.03574224483804678,0.04914864468147568,0.07099520501027498,1029.7398608546557,23527.1875,20.14798206278027,100,83.27923001846479,301.108,8.769765583333333
DistMult,YAGO3-10,2,50,2185.2095143795013,5.06767463684082,8.854710649129188e-05,0.08032138645648956,0.044961862705740666,0.07988759534323565,0.10236852669610598,0.14150943396226415,1341.5339958761463,21973.1875,74.49583006957563,100,192.23112237939455,319.214,115.88866802777778
ConvE,WN18RR,2,50,289.00563955307007,3.929929733276367,0.00024756358168183455,0.11299814283847809,0.06361149110807114,0.12995896032831739,0.1658686730506156,0.213406292749658,1149.1619121715075,3871.1875,51.49135546334716,100,134.18821680497925,404.564,10.779786750000001
TransE,DBpedia50,2,50,32.790173292160034,0.3073437213897705,9.918429650953106e-05,0.14235182106494904,0.037231503579952266,0.21575178997613365,0.256563245823389,0.2985680190930788,961.0371732026143,1989.1875,17.872549019607842,27,83.29486274509803,98.89,0.7080063333333333
ComplEx,Nations,2,50,7.645007371902466,0.024714231491088867,0.0001140464773744493,0.3860207796096802,0.17661691542288557,0.4701492537313433,0.6840796019900498,0.9427860696517413,857.1120283018868,857.1875,3.830188679245283,16,61.376207547169805,97.078,0.09035941666666666
