model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
ComplEx,Nations,1,100,55.88995671272278,0.04948258399963379,0.00045281094526443443,0.388255774974823,0.17164179104477612,0.4626865671641791,0.681592039800995,0.9427860696517413,1838.4249152861446,2151.83203125,17.49397590361446,37,10.195175903614457,33.216,0.11752772222222223
ComplEx,Nations,2,100,57.12139058113098,0.060622215270996094,0.0003763119402991385,0.3924436867237091,0.1791044776119403,0.4651741293532338,0.6915422885572139,0.9477611940298507,1834.8428977272727,1845.84375,28.345454545454544,39,9.852670454545455,10.285,0.12042152777777779
ComplEx,Nations,4,100,56.74444079399109,0.04961395263671875,0.0004545527363233083,0.42623722553253174,0.2263681592039801,0.5049751243781094,0.6915422885572139,0.945273631840796,1832.942903037383,1842.90625,26.52803738317757,38,9.479516355140188,9.995,0.11270091666666668
ComplEx,Nations,7,100,56.81575298309326,0.055426836013793945,0.0004892422885628793,0.38072869181632996,0.16169154228855723,0.4601990049751244,0.7014925373134329,0.9676616915422885,1833.1391647196263,1841.40625,28.376168224299064,39,9.530516355140188,9.903,0.11330725000000001
ComplEx,Nations,11,100,57.151320457458496,0.04800891876220703,0.00040705771144118684,0.40353861451148987,0.19651741293532338,0.472636815920398,0.6990049751243781,0.9626865671641791,1831.3985237306842,1841.59375,27.12141280353201,40,9.590554083885209,10.011,0.1206811388888889
ComplEx,Nations,16,100,57.30973148345947,0.05997467041015625,0.00038746915422744856,0.3843974769115448,0.16417910447761194,0.4626865671641791,0.7139303482587065,0.9577114427860697,1834.6610353828307,1843.96875,27.160092807424594,37,9.819663573085846,10.135,0.11756319444444445
ComplEx,Nations,22,100,60.07072591781616,0.05292916297912598,0.00042427562190068015,0.38564154505729675,0.18407960199004975,0.4253731343283582,0.6616915422885572,0.9502487562189055,1832.365230044346,1841.84375,25.53880266075388,37,9.458844789356986,9.854,0.11849830555555556
ComplEx,Nations,29,100,57.042696475982666,0.060552358627319336,0.0003847268656758008,0.4093080163002014,0.20149253731343283,0.472636815920398,0.6840796019900498,0.9228855721393034,1833.5554906542056,1841.96875,27.69392523364486,38,9.51731308411215,9.949,0.11315027777777778
ComplEx,Nations,37,100,56.74500060081482,0.049521446228027344,0.0004222597015007464,0.43764588236808777,0.2263681592039801,0.527363184079602,0.7338308457711443,0.9651741293532339,1833.2379922434368,1840.96875,26.8854415274463,34,9.591892601431981,10.194,0.11163897222222223
ComplEx,Nations,46,100,56.6173882484436,0.06035590171813965,0.0005280233830788673,0.378228098154068,0.1691542288557214,0.44029850746268656,0.6716417910447762,0.9353233830845771,1824.4170673076924,1840.875,25.947115384615383,42,9.613072115384615,10.119,0.1110843888888889
